vv,vh,dem,pwater,label,water_percent
data\chips\VV\001_01.tif,data\chips\VH\001_01.tif,data\dem\001_01.tif,data\pwater\001_01.tif,data\labels\001_01.tif,1.141357421875
data\chips\VV\002_00.tif,data\chips\VH\002_00.tif,data\dem\002_00.tif,data\pwater\002_00.tif,data\labels\002_00.tif,12.506103515625
data\chips\VV\002_01.tif,data\chips\VH\002_01.tif,data\dem\002_01.tif,data\pwater\002_01.tif,data\labels\002_01.tif,25.24566650390625
data\chips\VV\002_10.tif,data\chips\VH\002_10.tif,data\dem\002_10.tif,data\pwater\002_10.tif,data\labels\002_10.tif,24.26300048828125
data\chips\VV\002_11.tif,data\chips\VH\002_11.tif,data\dem\002_11.tif,data\pwater\002_11.tif,data\labels\002_11.tif,13.49029541015625
data\chips\VV\003_00.tif,data\chips\VH\003_00.tif,data\dem\003_00.tif,data\pwater\003_00.tif,data\labels\003_00.tif,3.73382568359375
data\chips\VV\003_01.tif,data\chips\VH\003_01.tif,data\dem\003_01.tif,data\pwater\003_01.tif,data\labels\003_01.tif,19.45953369140625
data\chips\VV\005_11.tif,data\chips\VH\005_11.tif,data\dem\005_11.tif,data\pwater\005_11.tif,data\labels\005_11.tif,24.79095458984375
data\chips\VV\006_00.tif,data\chips\VH\006_00.tif,data\dem\006_00.tif,data\pwater\006_00.tif,data\labels\006_00.tif,17.657470703125
data\chips\VV\006_01.tif,data\chips\VH\006_01.tif,data\dem\006_01.tif,data\pwater\006_01.tif,data\labels\006_01.tif,16.485595703125
data\chips\VV\006_10.tif,data\chips\VH\006_10.tif,data\dem\006_10.tif,data\pwater\006_10.tif,data\labels\006_10.tif,16.8853759765625
data\chips\VV\006_11.tif,data\chips\VH\006_11.tif,data\dem\006_11.tif,data\pwater\006_11.tif,data\labels\006_11.tif,14.7247314453125
data\chips\VV\008_00.tif,data\chips\VH\008_00.tif,data\dem\008_00.tif,data\pwater\008_00.tif,data\labels\008_00.tif,2.2064208984375
data\chips\VV\008_01.tif,data\chips\VH\008_01.tif,data\dem\008_01.tif,data\pwater\008_01.tif,data\labels\008_01.tif,20.1904296875
data\chips\VV\008_10.tif,data\chips\VH\008_10.tif,data\dem\008_10.tif,data\pwater\008_10.tif,data\labels\008_10.tif,4.5196533203125
data\chips\VV\008_11.tif,data\chips\VH\008_11.tif,data\dem\008_11.tif,data\pwater\008_11.tif,data\labels\008_11.tif,19.7540283203125
data\chips\VV\009_00.tif,data\chips\VH\009_00.tif,data\dem\009_00.tif,data\pwater\009_00.tif,data\labels\009_00.tif,11.62109375
data\chips\VV\009_01.tif,data\chips\VH\009_01.tif,data\dem\009_01.tif,data\pwater\009_01.tif,data\labels\009_01.tif,6.91070556640625
data\chips\VV\009_10.tif,data\chips\VH\009_10.tif,data\dem\009_10.tif,data\pwater\009_10.tif,data\labels\009_10.tif,4.8980712890625
data\chips\VV\009_11.tif,data\chips\VH\009_11.tif,data\dem\009_11.tif,data\pwater\009_11.tif,data\labels\009_11.tif,5.52215576171875
data\chips\VV\010_00.tif,data\chips\VH\010_00.tif,data\dem\010_00.tif,data\pwater\010_00.tif,data\labels\010_00.tif,12.66326904296875
data\chips\VV\010_01.tif,data\chips\VH\010_01.tif,data\dem\010_01.tif,data\pwater\010_01.tif,data\labels\010_01.tif,2.05230712890625
data\chips\VV\010_10.tif,data\chips\VH\010_10.tif,data\dem\010_10.tif,data\pwater\010_10.tif,data\labels\010_10.tif,3.3355712890625
data\chips\VV\010_11.tif,data\chips\VH\010_11.tif,data\dem\010_11.tif,data\pwater\010_11.tif,data\labels\010_11.tif,16.5557861328125
data\chips\VV\011_00.tif,data\chips\VH\011_00.tif,data\dem\011_00.tif,data\pwater\011_00.tif,data\labels\011_00.tif,7.25250244140625
data\chips\VV\011_01.tif,data\chips\VH\011_01.tif,data\dem\011_01.tif,data\pwater\011_01.tif,data\labels\011_01.tif,9.2437744140625
data\chips\VV\011_10.tif,data\chips\VH\011_10.tif,data\dem\011_10.tif,data\pwater\011_10.tif,data\labels\011_10.tif,1.72119140625
data\chips\VV\011_11.tif,data\chips\VH\011_11.tif,data\dem\011_11.tif,data\pwater\011_11.tif,data\labels\011_11.tif,5.5816650390625
data\chips\VV\012_00.tif,data\chips\VH\012_00.tif,data\dem\012_00.tif,data\pwater\012_00.tif,data\labels\012_00.tif,4.5013427734375
data\chips\VV\012_01.tif,data\chips\VH\012_01.tif,data\dem\012_01.tif,data\pwater\012_01.tif,data\labels\012_01.tif,3.38592529296875
data\chips\VV\012_10.tif,data\chips\VH\012_10.tif,data\dem\012_10.tif,data\pwater\012_10.tif,data\labels\012_10.tif,3.10821533203125
data\chips\VV\012_11.tif,data\chips\VH\012_11.tif,data\dem\012_11.tif,data\pwater\012_11.tif,data\labels\012_11.tif,2.79388427734375
